grid_id,lon,lat,n_month,n_chla,availability,chla_mean,chla_median,chla_sd,peak_month
G025_R387_C1140,105.125,-6.875,276,269,0.9746376811594203,0.4341352300711462,0.3344016712492914,0.3358502802075754,9
G025_R387_C1141,105.375,-6.875,276,262,0.9492753623188406,0.7111788197691603,0.5190248246934499,0.6634802698877358,8
G025_R387_C1142,105.625,-6.875,276,256,0.927536231884058,1.0102006418679788,0.791219726561248,0.8598418082043672,8
G025_R387_C1143,105.875,-6.875,276,259,0.9384057971014492,0.9494846154847169,0.7210155030078461,0.9326092977761347,9
G025_R388_C1132,103.125,-7.125,276,268,0.9710144927536232,0.21279000691957764,0.1125852611076619,0.3695069639002534,8
G025_R388_C1133,103.375,-7.125,276,267,0.967391304347826,0.2317174041028611,0.1206811129101044,0.3962217632990635,8
G025_R388_C1134,103.625,-7.125,276,270,0.9782608695652174,0.2661645859390615,0.12700505576236093,0.5427129730836255,9
G025_R388_C1135,103.875,-7.125,276,270,0.9782608695652174,0.28757964023027793,0.13181824396980385,0.5662229903668864,8
G025_R388_C1136,104.125,-7.125,276,270,0.9782608695652174,0.3010410451000976,0.1497017154588142,0.4873436029399765,9
G025_R388_C1137,104.375,-7.125,276,270,0.9782608695652174,0.33745281267719957,0.1538204160099052,0.6513210710983247,8
G025_R388_C1138,104.625,-7.125,276,262,0.9492753623188406,0.3486918913803701,0.1802717546638234,0.49686373735793155,9
G025_R388_C1139,104.875,-7.125,276,270,0.9782608695652174,0.3504639858661885,0.20678436591330895,0.432888738666808,9
G025_R388_C1140,105.125,-7.125,276,268,0.9710144927536232,0.3323741914244556,0.219898814022497,0.3453683183456406,9
G025_R388_C1141,105.375,-7.125,276,269,0.9746376811594203,0.34936654588315846,0.2415192272076553,0.3717757971756596,8
G025_R388_C1142,105.625,-7.125,276,271,0.9818840579710145,0.3735504945358801,0.2477320648642221,0.38997671304499787,9
G025_R388_C1143,105.875,-7.125,276,272,0.9855072463768116,0.40365717056495237,0.2444398065255361,0.4413146785170319,9
G025_R388_C1144,106.125,-7.125,276,266,0.9637681159420289,0.5621917759228775,0.31556159377202453,0.8017849662685884,9
G025_R388_C1145,106.375,-7.125,276,260,0.9420289855072463,1.514051194971594,0.83597210228034,2.089599536270163,9
G025_R389_C1132,103.125,-7.375,276,268,0.9710144927536232,0.20547313403398346,0.11396653665349045,0.32980146637878954,8
G025_R389_C1133,103.375,-7.375,276,273,0.9891304347826086,0.21112916006284888,0.1173350253668677,0.3569858743439031,8
G025_R389_C1134,103.625,-7.375,276,271,0.9818840579710145,0.21220977635501836,0.1228940038298754,0.29652034091780516,8
G025_R389_C1135,103.875,-7.375,276,269,0.9746376811594203,0.22078986100649348,0.1269035735480211,0.2955663375649293,9
G025_R389_C1136,104.125,-7.375,276,272,0.9855072463768116,0.24465140938945834,0.13486063947710195,0.34961520918524314,9
G025_R389_C1137,104.375,-7.375,276,271,0.9818840579710145,0.25710376673301594,0.1491296487917434,0.4033262492482531,9
G025_R389_C1138,104.625,-7.375,276,270,0.9782608695652174,0.2628500185265902,0.15446546321849156,0.32925646727942803,8
G025_R389_C1139,104.875,-7.375,276,268,0.9710144927536232,0.27057499009374675,0.1696798873021976,0.3299240187527782,9
G025_R389_C1140,105.125,-7.375,276,267,0.967391304347826,0.2741760262087298,0.1798328592516931,0.3080169134183,9
G025_R389_C1141,105.375,-7.375,276,270,0.9782608695652174,0.28623590759819617,0.18540110350817451,0.3436507460310692,9
G025_R389_C1142,105.625,-7.375,276,271,0.9818840579710145,0.31462621182781897,0.1931178995732471,0.39647335788205657,8
G025_R389_C1143,105.875,-7.375,276,272,0.9855072463768116,0.3949944985255305,0.2007286853324736,0.6288103398755907,9
G025_R389_C1144,106.125,-7.375,276,271,0.9818840579710145,0.5232049796340605,0.247792636857641,0.8203413377366776,9
G025_R389_C1145,106.375,-7.375,276,267,0.967391304347826,1.0574489145137207,0.6209783627607827,1.32081143602213,9
