month,raw_subset,status,n_daily_files
2016-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201606_v1.nc,ok,30
2016-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201607_v1.nc,ok,31
2016-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201608_v1.nc,ok,31
2016-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201609_v1.nc,ok,30
2016-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201610_v1.nc,ok,31
2016-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201611_v1.nc,ok,30
2016-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2016\oisst_daily_subset_201612_v1.nc,ok,31
2017-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201701_v1.nc,ok,31
2017-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201702_v1.nc,ok,28
2017-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201703_v1.nc,ok,31
2017-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201704_v1.nc,ok,30
2017-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201705_v1.nc,ok,31
2017-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201706_v1.nc,ok,30
2017-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201707_v1.nc,ok,31
2017-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201708_v1.nc,ok,31
2017-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201709_v1.nc,ok,30
2017-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201710_v1.nc,ok,31
2017-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201711_v1.nc,ok,30
2017-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2017\oisst_daily_subset_201712_v1.nc,ok,31
2018-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201801_v1.nc,ok,31
2018-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201802_v1.nc,ok,28
2018-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201803_v1.nc,ok,31
2018-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201804_v1.nc,ok,30
2018-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201805_v1.nc,ok,31
2018-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201806_v1.nc,ok,30
2018-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201807_v1.nc,ok,31
2018-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201808_v1.nc,ok,31
2018-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201809_v1.nc,ok,30
2018-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201810_v1.nc,ok,31
2018-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201811_v1.nc,ok,30
2018-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2018\oisst_daily_subset_201812_v1.nc,ok,31
2019-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201901_v1.nc,ok,31
2019-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201902_v1.nc,ok,28
2019-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201903_v1.nc,ok,31
2019-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201904_v1.nc,ok,30
2019-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201905_v1.nc,ok,31
2019-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201906_v1.nc,ok,30
2019-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201907_v1.nc,ok,31
2019-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201908_v1.nc,ok,31
2019-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201909_v1.nc,ok,30
2019-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201910_v1.nc,ok,31
2019-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201911_v1.nc,ok,30
2019-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2019\oisst_daily_subset_201912_v1.nc,ok,31
2020-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202001_v1.nc,ok,31
2020-02-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202002_v1.nc,ok,29
2020-03-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202003_v1.nc,ok,31
2020-04-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202004_v1.nc,ok,30
2020-05-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202005_v1.nc,ok,31
2020-06-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202006_v1.nc,ok,30
2020-07-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202007_v1.nc,ok,31
2020-08-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202008_v1.nc,ok,31
2020-09-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202009_v1.nc,ok,30
2020-10-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202010_v1.nc,ok,31
2020-11-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202011_v1.nc,ok,30
2020-12-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2020\oisst_daily_subset_202012_v1.nc,ok,31
2021-01-01,D:\thesis\data\raw\sst\OISST_v2.1_daily_subset\2021\oisst_daily_subset_202101_v1.nc,ok,31
